id,book_id,rating,review_text,created_at
1,1,3,The characters felt real and relatable.,2025-08-21 09:29:23
2,1,3,Emotionally powerful and beautifully structured.,2025-03-05 09:29:23
3,1,4,The plot twists were amazing! I didn’t see them coming.,2025-05-04 09:29:23
4,1,4,Beautifully written with deep emotional impact.,2023-11-10 09:29:23
5,1,1,Emotionally powerful and beautifully structured.,2025-07-07 09:29:23
6,2,3,A classic everyone should read at least once in their life.,2024-10-13 09:29:23
7,2,1,"A bit slow at the beginning, but it builds into something incredible.",2023-07-26 09:29:23
8,2,1,Emotionally powerful and beautifully structured.,2025-08-09 09:29:23
9,2,2,An unforgettable journey through human emotions and moral choices.,2023-09-25 09:29:23
10,2,5,A classic everyone should read at least once in their life.,2023-05-16 09:29:23
11,2,5,The plot twists were amazing! I didn’t see them coming.,2024-06-09 09:29:23
12,2,5,A must-read for fans of good storytelling.,2024-11-27 09:29:23
13,3,5,The plot twists were amazing! I didn’t see them coming.,2024-11-21 09:29:23
14,3,2,Emotionally powerful and beautifully structured.,2025-06-20 09:29:23
15,3,4,Beautifully written with deep emotional impact.,2023-07-28 09:29:23
16,3,2,Emotionally powerful and beautifully structured.,2025-02-11 09:29:23
17,3,1,Beautifully written with deep emotional impact.,2025-01-04 09:29:23
18,3,4,The characters felt real and relatable.,2025-03-16 09:29:23
19,3,1,"A bit slow at the beginning, but it builds into something incredible.",2023-06-04 09:29:23
20,3,5,"Some parts dragged a bit, but overall, it’s worth it.",2023-10-09 09:29:23
21,3,1,"Overrated in my opinion, but still a decent read.",2025-01-28 09:29:23
22,3,1,The characters felt real and relatable.,2023-07-17 09:29:23
23,3,5,This book changed the way I see the world.,2025-05-08 09:29:23
24,4,5,Emotionally powerful and beautifully structured.,2025-02-11 09:29:23
25,4,2,A must-read for fans of good storytelling.,2023-09-08 09:29:23
26,4,3,A must-read for fans of good storytelling.,2024-03-29 09:29:23
27,4,5,"Dark, intense, and thought-provoking. Brilliant work.",2025-06-10 09:29:23
28,4,4,The plot twists were amazing! I didn’t see them coming.,2024-11-08 09:29:23
29,5,3,An unforgettable journey through human emotions and moral choices.,2024-08-22 09:29:23
30,5,1,An unforgettable journey through human emotions and moral choices.,2025-06-21 09:29:23
31,5,1,An absolute masterpiece! The writing and storytelling are phenomenal.,2024-11-25 09:29:23
32,5,3,The plot twists were amazing! I didn’t see them coming.,2024-03-31 09:29:23
33,5,1,An absolute masterpiece! The writing and storytelling are phenomenal.,2025-09-18 09:29:23
34,6,3,An absolute masterpiece! The writing and storytelling are phenomenal.,2024-02-18 09:29:23
35,6,4,"Dark, intense, and thought-provoking. Brilliant work.",2025-02-10 09:29:23
36,6,5,I couldn't put this book down. Every chapter kept me hooked.,2024-11-15 09:29:23
37,6,3,"Not my cup of tea, but I can see why others enjoy it.",2025-05-26 09:29:23
38,6,1,A classic everyone should read at least once in their life.,2024-06-30 09:29:23
39,6,3,"Not my cup of tea, but I can see why others enjoy it.",2025-08-22 09:29:23
40,6,2,"A bit slow at the beginning, but it builds into something incredible.",2024-11-11 09:29:23
41,6,2,I couldn't put this book down. Every chapter kept me hooked.,2024-01-16 09:29:23
42,7,2,This book changed the way I see the world.,2024-07-01 09:29:23
43,7,3,Beautifully written with deep emotional impact.,2023-07-26 09:29:23
44,7,3,The plot twists were amazing! I didn’t see them coming.,2024-11-23 09:29:23
45,7,4,A classic everyone should read at least once in their life.,2023-09-21 09:29:23
46,7,2,Emotionally powerful and beautifully structured.,2025-07-20 09:29:23
47,7,2,A must-read for fans of good storytelling.,2025-02-23 09:29:23
48,7,3,"Overrated in my opinion, but still a decent read.",2023-08-16 09:29:23
49,7,3,The characters felt real and relatable.,2024-04-01 09:29:23
50,7,2,A must-read for fans of good storytelling.,2024-05-20 09:29:23
51,7,4,I couldn't put this book down. Every chapter kept me hooked.,2023-09-02 09:29:23
52,8,1,This book changed the way I see the world.,2025-05-19 09:29:23
53,8,5,"A bit slow at the beginning, but it builds into something incredible.",2024-01-19 09:29:23
54,8,3,"Dark, intense, and thought-provoking. Brilliant work.",2025-03-29 09:29:23
55,8,4,"Not my cup of tea, but I can see why others enjoy it.",2024-10-04 09:29:23
56,8,2,This book changed the way I see the world.,2024-10-05 09:29:23
57,8,5,An absolute masterpiece! The writing and storytelling are phenomenal.,2025-06-24 09:29:23
58,8,1,"Some parts dragged a bit, but overall, it’s worth it.",2025-06-29 09:29:23
59,8,3,"Dark, intense, and thought-provoking. Brilliant work.",2025-05-08 09:29:23
60,9,4,"Some parts dragged a bit, but overall, it’s worth it.",2023-08-22 09:29:23
61,9,5,"Dark, intense, and thought-provoking. Brilliant work.",2024-06-12 09:29:23
62,9,2,The characters felt real and relatable.,2024-06-24 09:29:23
63,9,4,A must-read for fans of good storytelling.,2025-10-22 09:29:23
64,9,5,Emotionally powerful and beautifully structured.,2024-03-06 09:29:23
65,9,3,I couldn't put this book down. Every chapter kept me hooked.,2023-06-16 09:29:23
